File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/dom/css.js,"removeCss document : Document , ref : number )",54, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/dom/css.js,"applyStyles element : HTMLElement , styles : Object )",61, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/effects/stackTraceLimit.js,"registerStackTraceLimit limit : number = MAX_STACK_LENGTH )",69, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/effects/stackTraceLimit.js,"unregisterStackTraceLimit )",67, 4, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/effects/unhandledRejection.js,"rejectionHandler callback : ErrorCallback , e : PromiseRejectionEvent )",58, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/effects/unhandledRejection.js,"registerUnhandledRejection target : EventTarget , callback : ErrorCallback )",72, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/effects/unhandledRejection.js,"unregisterUnhandledRejection target : EventTarget )",75, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/effects/unhandledError.js,"errorHandler callback : ErrorCallback , e : Event )",65, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/effects/unhandledError.js,"registerUnhandledError target : EventTarget , callback : ErrorCallback )",80, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/effects/unhandledError.js,"unregisterUnhandledError target : EventTarget )",58, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/effects/proxyConsole.js,"function )",34, 10, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/effects/proxyConsole.js,"__stack_frame_overlay_proxy_console__ )",76, 12, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/effects/proxyConsole.js,"proxyConsole type : string , callback : ConsoleProxyCallback )",76, 12, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/containers/StackTrace.js,"*global*",79, 4, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/containers/StackTrace.js,"*global*",79, 4, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/containers/StackFrameCodeBlock.js,"function e )",54, 6, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/containers/StackFrameCodeBlock.js,"function e )",41, 6, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/containers/StackFrameCodeBlock.js,"StackFrameCodeBlock props : Exact < StackFrameCodeBlockPropsType > )",75, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/containers/RuntimeErrorContainer.js,"*global*",115, 10, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/containers/RuntimeError.js,"RuntimeError { errorRecord , editorHandler } : Props )",81, 4, 0
repos/javascript/create-react-app/packages/react-dev-utils/eslintFormatter.js,"isError message )",49, 2, 0
